Rk,Name,Age,Tm,Lg,G▼,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
248,Edmundo Sosa,28,PHI,NL,86,68,50,628.2,291,101,184,6,36,.979,3,7,6,11,-1,4.08,3.13,SS-2B-3B,sosaed01
249,Brett Wisely,25,SFG,NL,86,68,54,626.2,288,85,200,3,43,.990,2,3,4,7,-1,4.09,3.10,2B-SS-3B-OF-1B,wiselbr01
250,Romy Gonzalez,27,BOS,AL,85,40,17,407.2,216,133,78,5,18,.977,-4,-13,0,0,0,4.66,2.18,2B-1B-SS-3B-OF,gonzaro01
251,Jason Heyward,34,TOT,ZZ,85,63,49,580.0,149,145,2,2,0,.987,13,27,5,10,0,2.28,1.73,OF,heywaja01
252,Andy Ibáñez,31,DET,AL,85,45,24,453.2,255,147,106,2,32,.992,5,12,8,21,0,5.02,2.75,2B-3B-1B-OF-SS,ibanean01
253,Jose Iglesias,34,NYM,NL,85,69,47,625.0,250,91,156,3,38,.988,0,0,4,8,2,3.56,2.40,2B-3B-SS,iglesjo01
254,Starling Marte,35,NYM,NL,85,80,62,680.1,146,138,6,2,2,.986,-14,-25,-6,-10,-1,1.90,1.69,OF,martest01
255,Jack Suwinski,25,PIT,NL,85,67,45,617.2,178,177,0,1,0,.994,3,5,-15,-29,-1,2.58,2.08,OF,suwinja01
256,Chris Taylor,33,LAD,NL,85,56,34,564.0,151,98,51,2,10,.987,-4,-9,-2,-4,0,2.38,1.51,OF-3B-2B,tayloch03
257,Carlos Correa,29,MIN,AL,84,84,76,712.1,293,119,169,5,26,.983,1,2,-3,-5,2,3.64,3.43,SS,correca01
258,Stuart Fairchild,28,CIN,NL,84,54,39,526.0,171,170,1,0,1,1.000,5,11,6,13,3,2.93,2.04,OF,faircst01
259,Carson Kelly,29,TOT,AL,84,75,70,672.2,678,642,33,3,8,.996,1,2,-6,-10,-1,9.03,8.04,C,kellyca02
260,TJ Friedl,28,CIN,NL,83,79,69,678.0,198,192,3,3,1,.985,2,3,-5,-8,-1,2.59,2.38,OF,friedtj01
261,Kyle Higashioka,34,SDP,NL,83,77,60,665.2,698,669,20,9,1,.987,-3,-6,1,2,-5,9.32,8.30,C,higasky01
262,Taylor Walls,27,TBR,AL,83,68,64,625.1,255,80,172,3,33,.988,15,28,12,23,0,3.63,3.04,SS,wallsta01
263,Nick Gordon,28,MIA,NL,82,68,53,588.1,148,136,9,3,1,.980,1,3,-7,-14,-1,2.22,1.75,OF-2B,gordoni01
264,Danny Jansen,29,TOT,AL,82,72,69,654.1,643,619,18,6,1,.991,-1,-1,-11,-20,3,8.76,7.86,C,janseda01
265,Austin Martin,25,MIN,AL,82,69,42,612.0,160,139,20,1,3,.994,-9,-17,-13,-25,-1,2.34,1.81,OF-2B,martiau01
266,Michael Massey,26,KCR,AL,82,70,55,623.1,302,122,177,3,39,.990,0,0,0,0,-1,4.32,3.65,2B,massemi02
267,Parker Meadows,24,DET,AL,82,75,59,660.0,194,193,0,1,0,.995,15,28,5,9,2,2.63,2.35,OF,meadopa01
268,Dominic Smith,29,TOT,MLB,82,71,48,616.0,556,472,77,7,49,.987,9,18,-2,-3,-1,8.02,6.46,1B-P,smithdo02
269,Bo Bichette,26,TOR,AL,81,81,72,684.1,242,76,159,7,35,.971,-4,-7,-3,-5,0,3.09,2.90,SS,bichebo01
270,Adam Frazier,32,KCR,AL,81,58,32,503.0,188,95,90,3,14,.984,3,8,5,11,2,3.31,2.13,2B-OF-3B-1B,fraziad01
271,Javier Báez,31,DET,AL,80,76,73,672.1,320,122,189,9,39,.972,-1,-2,-4,-7,2,4.16,3.89,SS,baezja01
272,Jeimer Candelario,30,CIN,NL,80,79,68,689.2,327,220,96,11,26,.966,-9,-16,-10,-17,-1,4.12,3.67,3B-1B,candeje01
273,Elias Díaz,33,TOT,NL,80,70,62,604.1,500,467,29,4,1,.992,-1,-2,5,9,-2,7.39,6.28,C,diazel01
274,Brandon Drury,31,LAA,AL,80,74,64,656.2,346,174,167,5,48,.986,4,8,-4,-7,0,4.67,3.97,2B-3B-1B,drurybr01
275,Tyler Nevin,27,OAK,AL,80,64,24,542.0,303,261,38,4,25,.987,-7,-15,-1,-2,-1,4.96,3.22,1B-OF-3B,nevinty01
276,T.J. McFarland,35,OAK,AL,79,0,0,56.2,18,9,9,0,1,1.000,,,0,0,0,2.86,0.23,P,mcfartj01
277,Abraham Toro,27,OAK,AL,79,71,57,614.1,217,84,128,5,18,.977,-3,-6,-2,-3,0,3.11,2.62,3B-2B-1B-OF,toroab01
278,James Wood,21,WSN,NL,79,79,77,697.2,137,129,4,4,1,.971,-2,-3,-7,-12,-2,1.72,1.68,OF,woodja03
279,Bryan Abreu,27,HOU,AL,78,0,0,78.1,8,5,3,0,0,1.000,,,-2,-5,0,0.92,0.10,P,abreubr01
280,Hunter Gaddis,26,CLE,AL,78,0,0,74.2,13,5,6,2,0,.846,,,2,5,0,1.33,0.14,P,gaddihu01
281,Ryan O'Hearn,30,BAL,AL,78,68,41,557.2,361,337,19,5,28,.986,-4,-10,-4,-8,-2,5.75,4.34,1B-OF,ohearry01
282,Cristian Pache,25,TOT,ZZ,78,47,29,451.2,123,117,3,3,0,.976,0,-1,3,7,0,2.39,1.54,OF,pachecr01
283,Tyler Rogers,33,SFG,NL,77,0,0,70.1,15,5,9,1,1,.933,,,-2,-6,0,1.79,0.18,P,rogerty01
284,Austin Hays,28,TOT,ZZ,76,59,48,541.2,118,115,2,1,0,.992,-6,-13,-8,-17,-2,1.94,1.54,OF,haysau01
285,Joey Loperfido,25,TOT,AL,76,69,45,604.2,158,156,2,0,0,1.000,7,15,6,11,1,2.35,2.05,OF-1B,loperjo01
286,Rob Refsnyder,33,BOS,AL,76,51,36,495.1,122,116,2,4,0,.967,4,9,-4,-9,-1,2.14,1.55,OF,refsnro01
287,Jacob Stallings,34,COL,NL,76,67,58,603.2,537,506,24,7,1,.987,0,0,-6,-12,1,7.90,6.97,C,stallja01
288,Ryan Walker,28,SFG,NL,76,1,0,80.0,11,5,6,0,0,1.000,,,0,0,0,1.24,0.14,P,walkery01
289,Ezequiel Duran,25,TEX,AL,75,63,45,553.0,228,138,85,5,18,.978,7,16,2,4,0,3.63,2.90,3B-OF-1B-SS-2B,duranez01
290,Luis Guillorme,29,TOT,ZZ,75,45,34,441.1,186,68,116,2,29,.989,5,14,2,5,0,3.75,2.36,2B-3B-SS-P,guilllu01
291,Tim Herrin,27,CLE,AL,75,0,0,65.2,20,2,17,1,2,.950,,,4,12,0,2.60,0.25,P,herriti01
292,Derek Law,33,WSN,NL,75,0,0,90.0,10,4,6,0,2,1.000,,,-1,-2,0,1.00,0.13,P,lawde01
293,Joe Mantiply,33,ARI,NL,75,2,0,59.2,12,4,7,1,1,.917,,,-2,-7,0,1.66,0.15,P,mantijo01
294,Luis Rengifo,27,LAA,AL,75,71,61,622.2,243,87,150,6,29,.975,-2,-5,-4,-7,0,3.43,2.93,3B-2B-SS-OF,rengilu01
295,Eddie Rosario,32,TOT,NL,75,67,45,592.2,131,126,3,2,2,.985,-5,-11,-4,-8,0,1.96,1.72,OF,rosared01
296,Austin Slater,31,TOT,ZZ,75,46,18,414.1,96,91,3,2,0,.979,-3,-8,0,0,0,2.04,1.25,OF,slateau01
297,Mike Tauchman,33,CHC,NL,75,54,42,521.0,115,113,1,1,1,.991,-6,-14,-5,-11,0,1.97,1.52,OF,tauchmi01
298,Jason Adam,32,TOT,ZZ,74,0,0,73.2,11,4,7,0,1,1.000,,,-2,-32,0,1.34,0.15,P,adamja01
299,Emmanuel Clase,26,CLE,AL,74,0,0,74.1,11,4,5,2,1,.818,,,-1,-3,0,1.09,0.12,P,claseem01
300,Andrew Kittredge,34,STL,NL,74,0,0,70.2,11,3,7,1,1,.909,,,-2,-6,0,1.27,0.14,P,kittran01
301,Amed Rosario,28,TOT,ZZ,74,63,43,565.2,162,93,67,2,12,.988,-10,-21,-11,-23,-1,2.55,1.95,OF-2B-SS-3B,rosaram01
302,Cade Smith,25,CLE,AL,74,0,0,75.1,7,4,3,0,0,1.000,,,1,3,0,0.84,0.09,P,smithca06
303,Spencer Horwitz,26,TOR,AL,73,69,49,588.2,370,271,96,3,40,.992,-6,-13,-6,-12,-2,5.61,4.59,1B-2B,horwisp01
304,Erik Miller,26,SFG,NL,73,10,0,67.1,6,0,5,1,0,.833,,,0,0,0,0.67,0.07,P,milleer01
305,Seiya Suzuki,29,CHC,NL,73,72,69,625.0,158,150,5,3,3,.981,-2,-4,2,3,1,2.23,2.12,OF,suzukse01
306,Miguel Andujar,29,OAK,AL,72,71,64,615.2,141,129,10,2,1,.986,8,16,-1,-1,1,2.03,1.90,OF-1B,andujmi01
307,Robert Garcia,28,WSN,NL,72,0,0,59.2,4,0,3,1,1,.750,,,-1,-3,0,0.45,0.04,P,garciro04
308,Kevin Ginkel,30,ARI,NL,72,0,0,70.0,8,4,4,0,0,1.000,,,0,0,0,1.03,0.11,P,ginkeke01
309,Griffin Jax,29,MIN,AL,72,0,0,71.0,10,4,6,0,0,1.000,,,1,3,0,1.27,0.14,P,jaxgr01
310,Max Muncy,33,LAD,NL,72,66,64,602.1,165,44,115,6,16,.964,2,5,5,10,0,2.38,2.21,3B,muncyma01
311,Tanner Scott,29,TOT,NL,72,0,0,72.0,12,5,5,2,0,.833,,,-2,-33,0,1.25,0.14,P,scottta01
312,Hunter Strickland,35,LAA,AL,72,0,0,73.1,5,2,3,0,0,1.000,,,0,0,0,0.61,0.07,P,strichu01
313,Jose Trevino,31,NYY,AL,72,62,48,546.1,580,552,22,6,2,.990,1,2,9,20,3,9.46,7.86,C-P,trevijo01
314,Tyler Wade,29,SDP,NL,72,38,20,381.2,104,48,53,3,5,.971,-8,-24,-5,-15,0,2.38,1.26,3B-SS-OF-2B,wadety01
315,Jalen Beeks,30,TOT,NL,71,0,0,70.0,11,3,7,1,1,.909,,,0,0,0,1.29,0.14,P,beeksja02
316,Dominic Fletcher,26,CHW,AL,71,64,55,567.2,179,165,8,6,1,.966,-7,-15,7,14,3,2.74,2.44,OF,fletcdo01
317,Yasmani Grandal,35,PIT,NL,71,62,54,563.1,589,572,10,7,1,.988,-4,-8,0,0,0,9.30,7.97,C-1B,grandya01
318,Josh Hader,30,HOU,AL,71,0,0,71.0,9,3,6,0,0,1.000,,,2,6,0,1.14,0.13,P,haderjo01
319,Phil Maton,31,TOT,ZZ,71,0,0,64.0,9,2,7,0,0,1.000,,,0,0,0,1.27,0.13,P,matonph01
320,Trent Thornton,30,SEA,AL,71,0,0,72.1,10,3,6,1,0,.900,,,0,0,0,1.12,0.13,P,thorntr01
321,Yennier Cano,30,BAL,AL,70,0,0,60.0,15,6,9,0,1,1.000,,,3,10,0,2.25,0.21,P,canoye01
322,Xavier Edwards,24,MIA,NL,70,68,65,599.0,247,91,149,7,32,.972,-14,-28,-8,-16,-1,3.61,3.43,SS-2B,edwarxa01
323,Daniel Schneemann,27,CLE,AL,70,61,21,505.0,163,89,68,6,12,.963,-1,-2,2,4,0,2.80,1.78,OF-SS-3B-2B,schneda04
324,Kyle Tucker,27,HOU,AL,70,68,62,592.2,128,124,4,0,2,1.000,7,13,7,14,1,1.94,1.83,OF,tuckeky01
325,Nick Ahmed,34,TOT,NL,69,66,58,563.1,255,77,175,3,40,.988,-2,-5,-1,-2,-2,4.03,3.65,SS-2B,ahmedni01
326,Joey Bart,27,PIT,NL,69,62,56,545.0,525,498,23,4,3,.992,-2,-5,-4,-9,-1,8.60,7.55,C,bartjo01
327,Cavan Biggio,29,TOT,ZZ,69,56,39,508.0,234,145,82,7,23,.970,-7,-16,-3,-7,1,4.02,2.87,2B-3B-1B-OF,biggica01
328,Génesis Cabrera,27,TOR,AL,69,0,0,62.2,6,3,3,0,0,1.000,,,-2,-6,0,0.86,0.09,P,cabrege01
329,Victor Caratini,30,HOU,AL,69,63,59,556.0,587,557,27,3,10,.995,0,0,3,6,1,9.45,8.46,C-1B,caratvi01
330,Fernando Cruz,34,CIN,NL,69,3,0,66.2,9,2,7,0,0,1.000,,,1,3,0,1.22,0.13,P,cruzfe01
331,Jason Foley,28,DET,AL,69,0,0,60.0,6,1,5,0,1,1.000,,,-1,-3,0,0.90,0.09,P,foleyja01
332,Joey Gallo,30,WSN,NL,69,61,55,554.2,479,453,25,1,45,.998,4,9,6,12,2,7.76,6.83,1B-OF,gallojo01
333,Trent Grisham,27,NYY,AL,69,52,44,485.1,146,141,3,2,2,.986,1,3,0,0,-1,2.67,2.09,OF,grishtr01
334,Travis Jankowski,33,TEX,AL,69,30,23,321.0,86,82,1,3,0,.965,11,42,8,29,1,2.33,1.20,OF,jankotr01
335,Joe Jiménez,29,ATL,NL,69,0,0,68.2,6,2,3,1,0,.833,,,0,0,0,0.66,0.07,P,jimenjo02
336,Nolan Jones,26,COL,NL,69,67,64,583.2,112,103,4,5,0,.955,-2,-4,-4,-8,0,1.65,1.55,OF,jonesno01
337,Brandon Lowe,29,TBR,AL,69,64,56,555.1,281,151,130,0,35,1.000,2,4,1,2,1,4.55,3.96,2B-1B,lowebr01
338,Sean Murphy,29,ATL,NL,69,67,63,594.0,741,709,27,5,3,.993,1,3,4,8,4,11.15,10.67,C,murphse01
339,Will Vest,29,DET,AL,69,0,0,70.1,11,4,7,0,0,1.000,,,1,3,0,1.41,0.16,P,vestwi01
340,Aroldis Chapman,36,PIT,NL,68,0,0,61.2,9,2,7,0,0,1.000,,,0,0,0,1.31,0.13,P,chapmar01
341,Garrett Cleavinger,30,TBR,AL,68,0,0,60.0,6,0,6,0,0,1.000,,,-4,-13,0,0.90,0.09,P,cleavga01
342,Jeff Hoffman,31,PHI,NL,68,0,0,66.1,10,9,1,0,0,1.000,,,-2,-6,0,1.36,0.15,P,hoffmje02
343,Kevin Kelly,26,TBR,AL,68,0,0,70.2,15,4,11,0,0,1.000,,,0,0,0,1.91,0.22,P,kellyke02
344,Joel Payamps,30,MIL,NL,68,0,0,59.0,6,1,3,2,0,.667,,,0,0,0,0.61,0.06,P,payamjo01
345,David Robertson,39,TEX,AL,68,0,0,72.0,11,3,8,0,0,1.000,,,1,3,0,1.38,0.16,P,roberda08
346,Nick Sandlin,27,CLE,AL,68,1,0,57.2,10,1,9,0,1,1.000,,,2,7,0,1.56,0.15,P,sandlni01
347,Enmanuel Valdez,25,BOS,AL,68,57,33,479.1,217,71,140,6,23,.972,-3,-8,-5,-12,-1,3.96,3.06,2B-3B-OF,valdeen01
348,Austin Voth,32,SEA,AL,68,0,0,61.0,13,10,2,1,0,.923,,,0,0,0,1.77,0.18,P,vothau01
349,Dairon Blanco,31,KCR,AL,67,34,21,332.1,83,79,1,3,0,.964,-2,-8,-2,-7,0,2.17,1.19,OF,blancda02
350,Clay Holmes,31,NYY,AL,67,0,0,63.0,10,6,4,0,0,1.000,,,-2,-6,0,1.43,0.15,P,holmecl01
351,Tyler Kinley,33,COL,NL,67,0,0,64.0,10,2,7,1,0,.900,,,-1,-3,0,1.27,0.13,P,kinlety01
352,Michael Kopech,28,TOT,ZZ,67,0,0,67.2,9,6,2,1,0,.889,,,-2,-35,-1,1.06,0.12,P,kopecmi01
353,Pedro Pagés,25,STL,NL,67,60,56,543.2,521,490,28,3,1,.994,-2,-5,3,7,1,8.58,7.73,C-1B,pagespe02
354,Ryan Thompson,32,ARI,NL,67,0,0,66.1,21,7,13,1,1,.952,,,-1,-3,0,2.71,0.30,P,thompry02
355,Alex Vesia,28,LAD,NL,67,0,0,66.1,8,1,6,1,1,.875,,,1,3,0,0.95,0.10,P,vesiaal01
356,Keegan Akin,29,BAL,AL,66,0,0,78.2,7,0,7,0,0,1.000,,,2,5,0,0.80,0.11,P,akinke01
357,José Alvarado,29,PHI,NL,66,0,0,61.2,4,2,2,0,0,1.000,,,-3,-10,0,0.58,0.06,P,alvarjo03
358,Dylan Floro,33,TOT,NL,66,0,0,68.2,12,6,6,0,0,1.000,,,-1,-17,0,1.57,0.18,P,florody01
359,Austin Hedges,31,CLE,AL,66,46,30,398.2,441,423,15,3,2,.993,3,9,5,15,1,9.89,6.64,C-P,hedgeau01
360,Tyler Holton,28,DET,AL,66,9,0,94.1,16,4,12,0,0,1.000,,,2,4,0,1.53,0.24,P,holtoty01
361,Raisel Iglesias,34,ATL,NL,66,0,0,69.1,15,4,11,0,1,1.000,,,2,6,0,1.95,0.23,P,iglesra01
362,DJ LeMahieu,35,NYY,AL,66,55,42,511.1,297,212,82,3,20,.990,-5,-11,-5,-12,0,5.17,3.97,3B-1B,lemahdj01
363,James McCann,34,BAL,AL,66,63,59,560.2,564,528,28,8,2,.986,-2,-4,-5,-11,-3,8.93,8.42,C-P,mccanja02
364,Gregory Soto,29,TOT,ZZ,66,0,0,53.0,10,3,7,0,0,1.000,,,-1,-22,0,1.70,0.15,P,sotogr01
365,Matt Strahm,32,PHI,NL,66,0,0,62.2,3,1,2,0,0,1.000,,,1,3,0,0.43,0.05,P,strahma01
366,Kyle Finnegan,32,WSN,NL,65,0,0,63.2,5,0,5,0,1,1.000,,,-2,-6,-1,0.71,0.08,P,finneky01
367,Ryan Helsley,29,STL,NL,65,0,0,66.1,9,6,3,0,2,1.000,,,0,0,0,1.22,0.14,P,helslry01
368,Daniel Hudson,37,LAD,NL,65,0,0,63.0,7,4,3,0,0,1.000,,,0,0,0,1.00,0.11,P,hudsoda01
369,David Peralta,36,SDP,NL,65,53,27,448.0,89,87,1,1,0,.989,2,5,-1,-2,1,1.77,1.35,OF,peralda01
370,JoJo Romero,27,STL,NL,65,0,0,59.0,6,0,6,0,0,1.000,,,2,7,0,0.92,0.09,P,romerjo01
371,Robert Suarez,33,SDP,NL,65,0,0,65.0,7,5,2,0,0,1.000,,,1,3,0,0.97,0.11,P,suarero01
372,Miguel Vargas,24,TOT,MLB,65,57,40,484.0,126,58,63,5,10,.960,-7,-16,-2,-4,2,2.25,1.86,3B-OF-1B,vargami01
373,Enyel De Los Santos,28,TOT,ZZ,64,0,0,64.0,8,3,4,1,0,.875,,,0,0,0,0.98,0.11,P,delosen01
374,Orion Kerkering,23,PHI,NL,64,2,0,63.0,4,3,1,0,0,1.000,,,-1,-3,0,0.57,0.06,P,kerkeor01
375,José Leclerc,30,TEX,AL,64,0,0,66.2,8,2,5,1,1,.875,,,0,0,0,0.95,0.11,P,leclejo01
376,Justin Martinez,22,ARI,NL,64,0,0,72.2,9,1,7,1,0,.889,,,-1,-3,0,0.99,0.13,P,martiju01
377,Jorge Mateo,29,BAL,AL,64,57,47,505.2,228,87,137,4,25,.982,2,5,0,0,0,3.99,3.39,2B-SS-OF,mateojo01
378,Yuki Matsui,28,SDP,NL,64,0,0,62.2,6,1,4,1,0,.833,,,-1,-3,-1,0.72,0.08,P,matsuyu01
379,Taylor Rogers,33,SFG,NL,64,0,0,60.0,9,2,6,1,0,.889,,,1,3,0,1.20,0.13,P,rogerta01
380,Victor Vodnik,24,COL,NL,64,0,0,73.2,14,9,5,0,0,1.000,,,-2,-5,0,1.71,0.22,P,vodnivi01
381,Tim Anderson,31,MIA,NL,63,62,59,537.1,245,66,170,9,34,.963,-1,-2,0,0,0,3.95,3.75,SS,anderti01
382,Tanner Banks,32,TOT,ZZ,63,2,0,72.1,11,0,8,3,0,.727,,,-2,-33,0,1.00,0.13,P,banksta01
383,Addison Barger,24,TOR,AL,63,55,36,485.1,138,82,49,7,7,.949,-5,-13,3,7,0,2.43,1.87,3B-OF,bargead01
384,Scott Barlow,31,CLE,AL,63,0,0,55.0,9,4,5,0,0,1.000,,,-2,-7,0,1.47,0.14,P,barlosc01
385,Jacob Barnes,34,WSN,NL,63,0,0,66.0,9,6,2,1,0,.889,,,-2,-6,0,1.09,0.13,P,barneja01
386,Seranthony Domínguez,29,TOT,ZZ,63,0,0,58.2,11,6,5,0,0,1.000,,,-1,-20,0,1.69,0.17,P,dominse01
387,Ryne Stanek,32,TOT,ZZ,63,0,0,55.1,6,5,1,0,0,1.000,,,0,0,0,0.98,0.10,P,stanery01
388,David Bednar,29,PIT,NL,62,0,0,57.2,6,4,2,0,0,1.000,,,-3,-10,0,0.94,0.10,P,bednada01
389,Triston Casas,24,BOS,AL,62,56,51,512.0,505,450,50,5,36,.990,-1,-3,-1,-2,1,8.79,8.20,1B,casastr01
390,Andrew Chafin,34,TOT,AL,62,0,0,56.1,5,3,2,0,0,1.000,,,0,0,0,0.80,0.08,P,chafian01
391,Camilo Doval,26,SFG,NL,62,0,0,59.0,15,7,6,2,2,.867,,,-2,-7,0,1.98,0.21,P,dovalca01
392,Jeremiah Estrada,25,SDP,NL,62,0,0,61.0,4,1,2,1,0,.750,,,-1,-3,0,0.44,0.05,P,estraje01
393,Caleb Ferguson,27,TOT,AL,62,0,0,54.1,7,4,3,0,0,1.000,,,-1,-22,0,1.16,0.11,P,ferguca01
394,Ryan Fernandez,26,STL,NL,62,0,0,66.2,11,5,6,0,0,1.000,,,-1,-3,0,1.49,0.18,P,fernary01
395,Tim Hill,34,TOT,AL,62,0,0,67.0,27,4,21,2,1,.926,,,0,0,0,3.36,0.40,P,hillti01
396,Héctor Neris,35,TOT,ZZ,62,0,0,59.1,10,4,4,2,0,.800,,,-2,-40,0,1.21,0.13,P,nerishe01
397,Cionel Pérez,28,BAL,AL,62,0,0,53.2,14,4,10,0,0,1.000,,,0,0,0,2.35,0.23,P,perezci01
398,A.J. Puk,29,TOT,NL,62,4,0,71.1,7,2,5,0,1,1.000,,,1,16,0,0.88,0.11,P,pukaj01
399,Cole Sands,26,MIN,AL,62,0,0,71.1,10,5,4,1,0,.900,,,-1,-3,0,1.14,0.15,P,sandsco01
400,Dennis Santana,28,TOT,ZZ,62,0,0,71.2,12,6,6,0,2,1.000,,,0,0,0,1.51,0.19,P,santade01
401,Tayler Scott,32,HOU,AL,62,1,0,68.2,16,11,5,0,0,1.000,,,1,3,0,2.10,0.26,P,scottta02
402,Luke Weaver,30,NYY,AL,62,0,0,84.0,9,2,5,2,0,.778,,,0,0,0,0.75,0.11,P,weavelu01
403,Greg Weissert,29,BOS,AL,62,0,0,63.1,11,4,7,0,1,1.000,,,1,3,0,1.56,0.18,P,weissgr01
404,Dominic Canzone,26,SEA,AL,61,50,36,420.2,100,100,0,0,0,1.000,4,10,1,2,0,2.14,1.64,OF,canzodo01
405,Lucas Erceg,29,TOT,AL,61,0,0,61.2,13,5,7,1,2,.923,,,0,0,0,1.75,0.20,P,erceglu01
406,Buck Farmer,33,CIN,NL,61,1,0,71.0,6,3,3,0,0,1.000,,,-1,-3,0,0.76,0.10,P,farmebu01
407,Leo Jimenez,23,TOR,AL,61,55,47,490.1,204,78,122,4,29,.980,0,0,2,5,0,3.67,3.13,SS-2B,jimenle01
408,Hoby Milner,33,MIL,NL,61,1,0,64.2,23,11,12,0,0,1.000,,,4,12,0,3.20,0.38,P,milneho01
409,Evan Phillips,29,LAD,NL,61,0,0,54.2,9,4,4,1,0,.889,,,-1,-4,0,1.32,0.13,P,phillev01
410,Kirby Yates,37,TEX,AL,61,0,0,61.2,11,4,6,1,0,.909,,,0,0,0,1.46,0.16,P,yateski01
411,Christian Bethancourt,32,TOT,NL,60,42,33,384.1,366,341,20,5,2,.986,3,8,-3,-9,0,8.45,6.02,C,bethach01
412,Alexis Díaz,27,CIN,NL,60,0,0,56.1,6,4,2,0,1,1.000,,,0,0,0,0.96,0.10,P,diazal03
413,Luis García,37,TOT,AL,60,0,0,59.0,6,3,3,0,0,1.000,,,-2,-40,0,0.92,0.10,P,garcilu03
414,Mark Leiter Jr.,33,TOT,ZZ,60,0,0,58.0,6,1,4,1,0,.833,,,0,0,0,0.78,0.08,P,leitema02
415,Matthew Liberatore,24,STL,NL,60,6,0,86.0,22,4,17,1,2,.955,,,3,7,0,2.20,0.35,P,liberma01
416,Trey Lipscomb,24,WSN,NL,60,57,48,496.1,168,49,110,9,16,.946,3,8,3,7,0,2.88,2.56,3B-1B-2B,lipsctr01
417,Garrett Mitchell,25,MIL,NL,60,51,37,456.2,122,119,3,0,0,1.000,3,7,6,15,3,2.40,2.03,OF,mitchga01
418,Adrián Morejón,25,SDP,NL,60,0,0,63.2,6,1,5,0,0,1.000,,,-3,-9,0,0.85,0.10,P,morejad01
419,Andrés Muñoz,25,SEA,AL,60,0,0,59.1,9,0,8,1,0,.889,,,0,0,0,1.21,0.13,P,munozan01
420,Jhonkensy Noel,22,CLE,AL,60,46,36,417.0,134,127,7,0,2,1.000,8,22,3,8,1,2.89,2.09,OF-1B,noeljh01
421,Adam Ottavino,38,NYM,NL,60,0,0,56.0,11,9,2,0,0,1.000,,,-3,-11,0,1.77,0.18,P,ottavad01
422,Nate Pearson,27,TOT,ZZ,60,1,0,66.1,1,1,0,0,0,1.000,,,-2,-36,0,0.14,0.02,P,pearsna01
423,Jacob Webb,30,BAL,AL,60,0,0,56.2,8,2,6,0,0,1.000,,,0,0,0,1.27,0.13,P,webbja01
424,Justin Wilson,36,CIN,NL,60,0,0,46.2,8,2,4,2,0,.750,,,0,0,0,1.16,0.10,P,wilsoju10
425,Angel Zerpa,24,KCR,AL,60,0,0,53.2,13,3,8,2,0,.846,,,1,4,0,1.84,0.18,P,zerpaan01
426,Anthony Bender,29,MIA,NL,59,0,0,53.0,6,4,2,0,0,1.000,,,-1,-4,0,1.02,0.10,P,bendean01
427,John Brebbia,34,TOT,ZZ,59,0,0,55.1,4,0,4,0,0,1.000,,,-1,-21,0,0.65,0.07,P,brebbjo01
428,Jackson Holliday,20,BAL,AL,59,53,49,474.2,211,80,128,3,30,.986,-6,-15,-3,-8,-1,3.94,3.53,2B-SS,hollija01
429,Andrew Nardi,25,MIA,NL,59,0,0,49.2,4,0,4,0,0,1.000,,,0,0,0,0.72,0.07,P,nardian01
430,Ryan Pressly,35,HOU,AL,59,0,0,56.2,11,5,6,0,1,1.000,,,0,0,0,1.75,0.19,P,pressry01
431,John Schreiber,30,KCR,AL,59,0,0,51.2,11,6,4,1,0,.909,,,-1,-4,0,1.74,0.17,P,schrejo01
432,Tyler Soderstrom,22,OAK,AL,59,53,42,455.0,404,377,24,3,47,.993,1,3,-3,-8,1,7.93,6.68,1B-C,soderty01
433,Kyle Stowers,26,TOT,ZZ,59,48,26,421.1,117,114,3,0,0,1.000,1,2,-1,-2,0,2.50,1.98,OF,stoweky01
434,Caleb Thielbar,37,MIN,AL,59,0,0,47.1,7,1,5,1,0,.857,,,-1,-4,0,1.14,0.10,P,thielca01
435,Daz Cameron,27,OAK,AL,58,45,24,384.1,86,83,3,0,0,1.000,-5,-14,-4,-12,0,2.01,1.48,OF,camerda01
436,Jhoan Durán,26,MIN,AL,58,0,0,54.1,20,8,11,1,0,.950,,,0,0,1,3.15,0.33,P,duranjh01
437,David Fry,28,CLE,AL,58,46,31,414.0,281,265,14,2,8,.993,-2,-6,-4,-11,-1,6.07,4.16,1B-C-OF-3B,fryda01
438,Sean Hjelle,27,SFG,NL,58,0,0,80.2,27,14,13,0,2,1.000,,,1,2,0,3.01,0.47,P,hjellse01
439,Alex Jackson,28,TBR,AL,58,46,30,407.0,468,444,18,6,2,.987,1,3,2,6,-1,10.22,7.97,C,jacksal02
440,Pierce Johnson,33,ATL,NL,58,0,0,56.1,11,2,9,0,1,1.000,,,1,4,0,1.76,0.19,P,johnspi01
441,Tyson Miller,28,TOT,ZZ,58,0,0,62.0,5,3,2,0,0,1.000,,,-1,-19,0,0.73,0.09,P,millety01
442,Zach Pop,27,TOR,AL,58,0,0,48.1,9,3,5,1,0,.889,,,-2,-8,0,1.49,0.14,P,popza01
443,Lucas Sims,30,TOT,ZZ,58,0,0,49.1,9,4,5,0,1,1.000,,,0,0,0,1.64,0.16,P,simslu01
